"session_id","nama_sesi","kategori","level_sesi","durasi_label","youtube_id","judul_video","channel","durasi_asli_detik","embeddable","d1_kategori","d2_level","d3_durasi","d4_format","d5_teknis","d6_bahasa","verdict","alasan_utama","bukti_kutipan"
"p1","HYROX Foundation","hyrox","Pemula (dari ""Foundation"")","40 menit","Q_VBYrp0by8","40-Minute Hyrox-Inspired Workout (Full Body HIIT with Weights)","TIDAK_BISA_DICEK (no API)","~2400 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Hyrox-Inspired Workout"" | D2:Judul tanpa kata-sinyal level; nama ""Foundation""=pemula tak bisa dikonfirmasi dari metadata video (perlu review: 40mnt HIIT+beban mungkin berat utk pemula) | D3:""40-Minute"" ≈ label 40 menit | D4:""Workout"" (follow-along, tanpa sinyal tutorial)"
"p2","Functional Conditioning","functional","Menengah (tanpa sinyal nama)","30 menit","vTwV2qdAJWU","30 Minute Full Body Strength & Conditioning Workout!","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Strength & Conditioning"" (functional ✓) | D2:Tak ada sinyal level di judul maupun nama sesi | D3:""30 Minute"" ≈ 30 menit | D4:""Workout"" follow-along"
"p3","Home Functional (Tanpa Alat)","functional","Menengah (tanpa sinyal nama)","30 menit","vUqFO_4tTmA","30 Min Full Body Workout at Home (No Equipment)","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Full Body Workout at Home (No Equipment)"" cocok ""Home Functional Tanpa Alat"" | D2:Tak ada sinyal level | D3:""30 Min"" ≈ 30 menit | D4:""Workout at Home"" follow-along"
"p9","Strength Foundations","strength","Pemula (dari ""Foundations"")","30 menit","36BuhRO3zng","30 min FULL BODY STRENGTH WORKOUT | With Dumbbells (And Without) | No Repeats","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""FULL BODY STRENGTH WORKOUT"" (strength ✓) | D2:Tak ada kata-sinyal level; ""(And Without)"" isyaratkan bisa diskalakan tapi bukan penanda level pasti; nama ""Foundations""=pemula tak terkonfirmasi | D3:""30 min"" ≈ 30 menit | D4:""WORKOUT ... No Repeats"" follow-along"
"p8","HIIT Fat Burn","hiit","Menengah (tanpa sinyal nama)","20 menit","zJKtwow2oBc","20 Min Fat Burning HIIT Workout - Full body Cardio, No Equipment, No Repeats","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Fat Burning HIIT Workout"" (hiit ✓) | D2:Tak ada sinyal level | D3:""20 Min"" ≈ 20 menit | D4:""HIIT Workout ... No Repeats"" follow-along. CATATAN: judul nyaris identik dgn ht4"
"p4","Yoga Flow","yoga","Menengah (tanpa sinyal nama)","20 menit","LqXZ628YNj4","Morning Yoga Flow | 20-Minute Morning Yoga Practice","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Yoga Flow ... Yoga Practice"" (yoga ✓) | D2:Tak ada sinyal level; ""Morning ... Practice"" netral | D3:""20-Minute"" ≈ 20 menit | D4:""Practice"" follow-along. CATATAN: judul ""Morning Yoga"" padahal sesi generik ""Yoga Flow"""
"p5","Pilates Mat","pilates","Pemula (Mat = dasar)","20 menit","tdykXxDMK3w","FULL BODY PILATES AT HOME Complete Tone & Fat Burn | 20 min Workout","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""FULL BODY PILATES"" (pilates ✓) | D2:Tak ada sinyal level; ""Complete Tone & Fat Burn"" netral | D3:""20 min"" ≈ 20 menit | D4:""Workout"" follow-along. CATATAN: judul tak sebut ""Mat"" spesifik"
"p6","Mobility & Recovery","yoga (di DB) / mobility (nyata)","Pemula (recovery, low-intensity)","20 menit","7l1sIiKmD3U","20 Minute Active Recovery Mobility Workout | Follow Along, No Talking","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","MERAGUKAN","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:Video ""Active Recovery Mobility"" cocok NAMA sesi, tapi field jenis di DB = ""yoga"" (mislabel) | D2:""Active Recovery ... low intensity"" cocok level pemula/recovery | D3:""20 Minute"" ≈ 20 menit | D4:""Follow Along, No Talking"" eksplisit follow-along"
"hx2","HYROX Fat Burn","hyrox","Menengah (tanpa sinyal nama)","20 menit","kIwUE2qmR5M","20 Min NO REPEAT Full Body HYROX Workout | Dumbbells Only | PROJECT ROX","TIDAK_BISA_DICEK (no API)","~1200 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Full Body HYROX Workout"" (hyrox ✓) | D2:Tak ada sinyal level; ""Fat Burn"" tak muncul literal (HYROX HIIT no-repeat = wajar fat-burn) | D3:""20 Min"" ≈ 20 menit | D4:""Workout"" follow-along"
"hx3","HYROX for Runners","hyrox","Menengah (tanpa sinyal nama)","30 menit","gU4YXeeRiEo","30 Minute Full Body Cardio X Dumbbell HIIT [Hyrox Inspired Workout]","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""Hyrox Inspired Workout"" (hyrox ✓) | D2:Tak ada sinyal level; ""for Runners"" tak muncul literal di judul | D3:""30 Minute"" ≈ 30 menit | D4:""Workout"" follow-along"
"hx4","HYROX Upper Body","hyrox","Menengah (tanpa sinyal nama)","55 menit","yWnuYWKd7y0","55 MIN HYROX INSPIRED WORKOUT | Full Body | Strength & Endurance | With Weights","TIDAK_BISA_DICEK (no API)","~3300 (dari judul)","TIDAK_BISA_DICEK","MERAGUKAN","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:HYROX ✓ tapi judul ""Full Body"", sesi ""Upper Body"" — fokus meleset | D2:Tak ada sinyal level | D3:""55 MIN"" ≈ 55 menit | D4:""WORKOUT"" follow-along"
"hx5","HYROX Pemula","hyrox","Pemula (eksplisit ""Pemula"")","30 menit","8dzotRViMtA","30 MINUTE HYROX TRAINING FOLLOW ALONG WORKOUT","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""HYROX TRAINING ... WORKOUT"" (hyrox ✓) | D2:Sesi eksplisit ""Pemula"" TAPI judul HYROX generik TANPA sinyal/modifikasi pemula → tak bisa dipastikan cocok utk pemula. PRIORITAS REVIEW: HYROX cenderung intens | D3:""30 MINUTE"" ≈ 30 menit | D4:""FOLLOW ALONG WORKOUT"" eksplisit"
"hx6","HYROX Advanced","hyrox","Lanjutan (eksplisit ""Advanced"")","40 menit","2Otc7mVYxS0","40 Minute Full Body Cardio X Dumbbell HIIT (ADVANCED Hyrox Style)","TIDAK_BISA_DICEK (no API)","~2400 (dari judul)","TIDAK_BISA_DICEK","COCOK","COCOK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","LOLOS","Semua dimensi tercek COCOK; hanya D5/D6 (teknis/bahasa) tak terverifikasi (2 TBC).","D1:""Hyrox Style"" (hyrox ✓) | D2:""(ADVANCED ...)"" literal cocok sesi Lanjutan | D3:""40 Minute"" ≈ 40 menit | D4:""Workout"" follow-along"
"fn3","Functional Full Body","functional","Menengah (tanpa sinyal nama)","30 menit","Gq5K2bZd2DE","30 min FULL BODY FUNCTIONAL FITNESS TRAINING WORKOUT | With Dumbbells | Modifications Provided","TIDAK_BISA_DICEK (no API)","~1800 (dari judul)","TIDAK_BISA_DICEK","COCOK","TIDAK_BISA_DICEK","COCOK","COCOK","TIDAK_BISA_DICEK","TIDAK_BISA_DICEK","REVIEW","Data tidak cukup: 3 dimensi TIDAK_BISA_DICEK (termasuk D5 teknis & D6 bahasa).","D1:""FULL BODY FUNCTIONAL FITNESS"" (functional ✓) | D2:""Modifications Provided"" isyaratkan multi-level tapi bukan penanda level pasti; sesi tanpa sinyal level | D3:""30 min"" ≈ 30 menit | D4:""TRAINING WORKOUT"" follow-along"
