id,route,komponen,file_path,line,kategori,temuan,bukti_kode,dampak_user,severity,confidence,usulan_fix,effort
H-01,semua,html root,Workout 20FIT (1).html,379 (@off21685 / shell L1-2),H,"html tidak punya background; warna halaman hanya dicat 2 layer absolute di dalam .tt-fade. Di luar kotak itu (overscroll bounce iOS / area sisa) muncul putih default html","<html> tanpa style; .tt-fade: 'min-height:100vh; overflow-x:hidden; position:relative; color:var(--text)' (tanpa background)","Area putih/kebiruan di bawah konten & saat overscroll",P1,VERIFIED,"Cat background di html/body pakai token halaman, bukan hanya layer absolute di .tt-fade",M
H-02,semua,html/body,Workout 20FIT (1).html,379,H,"overscroll-behavior tidak diset di mana pun; rubber-band iOS menampilkan background html yang belum diwarnai","pencarian 'overscroll' = 0 hasil di seluruh file","Flash putih saat scroll mentok atas/bawah",P1,VERIFIED,"Set overscroll-behavior:none di html/body + background token",S
H-03,semua,body shell bundler,Workout 20FIT (1).html,8,H,"body shell: background:#1D1D1F + display:flex;align-items:center;justify-content:center;min-height:100vh masih aktif untuk app (style app hanya set color); app di-center dalam body abu gelap (artefak loader)","body { background: #1D1D1F; display: flex; align-items: center; justify-content: center; min-height: 100vh; }","Warna dasar & pembungkus app salah (loader artifact)",P2,VERIFIED,"Reset body untuk mode app: buang flex-center, set background token",S
H-04,semua,tema,Workout 20FIT (1).html,379 (@off867866),H,"Var tema di-inject sebagai inline var di .tt-fade lewat rootTheme, BUKAN di html/body; html/body tidak pernah theme-aware","out.rootTheme = s.theme==='dark' ? '--red:#C41101; --text:#F0EDE6; ... --glass:#131310; ...' : (light)","Toggle tema tidak menyentuh lapisan terluar; seam warna",P1,VERIFIED,"Angkat var tema ke :root/html atau set background html/body saat toggle",M
H-05,semua,surface --glass,Workout 20FIT (1).html,379 (@off868201),H,"Light theme --glass:#FFFFFF (putih murni) vs background halaman krem #EDE...; surface kartu/blok terlihat beda tone","--glass:#FFFFFF; --glass-2:#F4F1EA; (light @off868201)","Sambungan warna terlihat antara blok putih & krem",P2,VERIFIED,"Samakan surface dengan token warm-white (--glass-2) atau turunkan putihnya",S
H-06,semua,dekor blob,Workout 20FIT (1).html,379 (@off22432),H,"Blob dekor biru 'rgba(0,104,201,.10)' di kiri-bawah menambah rona kebiruan; memperkuat kesan 'putih kebiruan' di area bawah","width:460px; height:460px; bottom:-160px; left:10%; background:rgba(0,104,201,.10)","Rona biru di area bawah (kontributor sekunder BUG-001)",P3,VERIFIED,"Pertimbangkan kurangi/opsional-kan blob biru saat konten pendek",S
A-01,semua,bottom tab bar,Workout 20FIT (1).html,379 (@off97624),A,"Bottom nav position:fixed + backdrop-filter:blur(22px) permanen di atas area scroll; potensi jank di HP low-end (belum diukur)","padding:6px 8px calc(6px + env(safe-area-inset-bottom)); background:var(--glass-strong); backdrop-filter:blur(22px)","Scroll bisa terasa berat di device lemah (belum diukur)",P2,LIKELY,"Ukur di device; jika perlu, kurangi radius blur atau pakai background solid",M
A-02,semua,backdrop-filter,Workout 20FIT (1).html,379,A,"19 pemakaian backdrop-filter/blur di berbagai komponen; masing-masing biaya komposit; agregat berpotensi berat di mobile (belum diukur)","hitungan backdrop-filter|backdrop-blur = 19","Potensi frame drop saat banyak elemen blur tampil (belum diukur)",P3,LIKELY,"Audit tiap blur; ganti yang tidak perlu dengan background semi-solid",M
A-03,playlist modal,modal list,Workout 20FIT (1).html,379 (@off173292),A,"Scroll di dalam scroll: modal punya list max-height:220px overflow-y:auto sementara body tidak di-lock (lihat D-03)","max-height:220px; overflow-y:auto (playlist modal)","Gesture scroll bisa 'nembus' ke body di belakang modal",P2,LIKELY,"Lock body scroll saat modal terbuka + overscroll-behavior:contain di list",M
B-01,semua,logo img,Workout 20FIT (1).html,379 (@off23166),B,"Logo <img> pakai width:...px; height:auto tanpa tinggi eksplisit; tinggi baru pasti setelah load (potensi shift kecil)","<img src=... style='width:114px; height:auto; max-width:100%; display:block;'>","Header sedikit geser saat logo selesai load",P3,LIKELY,"Set height eksplisit atau aspect-ratio pada logo",S
B-02,semua,web fonts,Workout 20FIT (1).html,379,B,"51 @font-face dengan font-display:swap tanpa size-adjust/metric fallback; saat swap terjadi reflow teks (CLS)","@font-face = 51; font-display/swap terpakai; families: Anton, Barlow Condensed(189x), JetBrains Mono, Inter","Teks 'loncat' saat font custom masuk",P2,LIKELY,"Tambah size-adjust/ascent-override atau fallback metric-matched; kurangi jumlah weight",M
B-03,semua,loading state,Workout 20FIT (1).html,379,B,"Tidak ada skeleton/placeholder; konten muncul mendadak setelah bundel di-parse","pencarian skeleton/shimmer = 0","Layar kosong lalu konten pop; terasa lambat & mengagetkan",P2,VERIFIED,"Tambah skeleton berukuran sama dengan kartu/hero untuk mengunci ruang",M
C-01,semua,viewport height,Workout 20FIT (1).html,379,C,"Pakai 100vh (4x), tanpa 100dvh/svh; di mobile address bar bikin tinggi salah","min-height:100vh (4 kemunculan); 100dvh=0; 100svh=0","Kontainer full-height kepotong / sisa ruang saat address bar berubah",P2,VERIFIED,"Ganti 100vh -> 100dvh dengan fallback 100vh",S
C-02,semua,teks panjang,Workout 20FIT (1).html,379,C,"Ada ellipsis (20x) tapi tanpa -webkit-line-clamp & tanpa word-break/overflow-wrap; judul/URL panjang tanpa spasi bisa overflow","line-clamp=0; word-break/overflow-wrap=0; text-overflow/ellipsis=20","Judul/nama panjang bisa keluar kotak atau memaksa lebar",P3,LIKELY,"Tambah overflow-wrap:anywhere + line-clamp untuk judul multi-baris",S
C-03,semua,dekor blob,Workout 20FIT (1).html,379 (@off22238),C,"Blob dekor 420-460px absolute keluar viewport TAPI di-clip oleh .tt-fade overflow-x:hidden; TIDAK menyebabkan scroll horizontal (dicek, aman)","width:420px...right:-80px; parent .tt-fade 'overflow-x:hidden'","Tidak ada dampak (dicatat sebagai sudah aman)",P3,VERIFIED,"Tidak perlu fix; jaga overflow-x:hidden tetap ada",S
D-01,semua form,input,Workout 20FIT (1).html,379 (@off809207),D,"Style input global font-size:13.5px (<16px); iOS Safari auto-zoom saat fokus (login email/password)","const input='...; font-size:13.5px; ...'","Layar zoom sendiri saat tap input",P2,VERIFIED,"Naikkan font-size input >=16px di mobile",S
D-02,semua,tap target,Workout 20FIT (1).html,379,D,"Banyak chip/tombol padding kecil (mis. 3px 9px / 9px 11px) + font kecil; sebagian tap target diduga <44px (perlu ukur)","cursor:pointer=165; contoh chip 'padding:3px 9px'","Chip/ikon kecil sulit ditap akurat",P2,NEEDS_DEVICE_TEST,"Pastikan min 44x44px pada chip filter, tombol close, ikon",M
D-03,modal,body scroll lock,Workout 20FIT (1).html,379,D,"Tidak ada body scroll lock saat modal terbuka (modal disebut 55x, tidak ada body.style.overflow)","body.style.overflow / lock = 0 hasil","Background scroll di belakang modal; posisi bisa hilang",P2,VERIFIED,"Lock body overflow saat modal terbuka, kembalikan posisi saat ditutup",M
D-04,semua,div clickable,Workout 20FIT (1).html,379,D,"4 <div> dengan sc-camel-on-click tanpa role/tabindex/keyboard handler","sc-camel-on-click pada <div> = 4; role=button=0; tabindex=0","Tidak bisa diakses keyboard / assistive tech",P3,VERIFIED,"Ganti ke <button> atau tambah role='button' + tabindex + handler keyboard",S
